,shape_area,binomial
156,357020680893.1982,Catagonus wagneri
157,575973663.7561955,Rhinolophus euryotis
158,100519410.59448738,Petrogale brachyotis
159,703834293425.6575,Phyllomys sulinus
160,154528819870.55798,Microhydromys richardsoni
161,64316562741.64637,Emballonura furax
162,580558929.781548,Phalanger orientalis
163,17330093.591887098,Sundamys muelleri
164,22122915.763496175,Sundamys muelleri
165,27184752.257924866,Sundamys muelleri
166,65943990.34739733,Tadarida teniotis
167,131316773321.94405,Eudorcas albonotata
168,5122364919.060584,Ctenomys lami
169,23210593120.035072,Peromyscus schmidlyi
170,21642005.571763225,Sundamys muelleri
171,439713060.6295594,Pteropus seychellensis
172,882857.2713742192,Pteropus seychellensis
173,65274.17281439678,Murina balaensis
174,8929072461.349068,Submyotodon latirostris
175,42235807307.73229,Myotis federatus
176,1715683626237.715,Artibeus jamaicensis
177,8661438444.927334,Artibeus schwartzi
178,371902158.7171817,Micronycteris buriri
179,229326644722.2454,Pteronotus parnellii
180,10474123616.374166,Ctenomys knighti
181,1186709871766.479,Lasiurus salinae
182,50269867000.05917,Myotis izecksohni
183,363959577997.28516,Tragelaphus derbianus
184,877509061748.626,Sauromys petrophilus
185,178384811292.90448,Scotoecus pallidus
186,22679270.49648799,Sorex stizodon
187,771393808813.4146,Otospermophilus beecheyi
188,99297203921.49083,Sigmodon peruanus
189,510049965165.2669,Sturnira bogotensis
190,7230371.773786436,Suncus dayi
191,8084408984.038346,Sundasciurus juvencus
192,633163993732.9169,Tamiops rodolphii
193,738945588364.7573,Trichys fasciculata
194,433487752992.2754,Trichys fasciculata
195,10796276073.67908,Varecia variegata
196,5675288.557351493,Varecia variegata
197,1002939552.9969668,Vulpes cana
198,319056406.81376714,Murina ryukyuana
199,35732463102.67113,Ochotona princeps
200,7172681547.281495,Mico marcai
201,853969770401.1124,Mimon cozumelae
202,3189996076.7602434,Loxodonta africana
203,7076403714739.431,Lepus townsendii
204,9233872618.12489,Calomyscus grandis
205,12196403238.32153,Euneomys fossor
206,18944650788.61342,Phyllomys mantiqueirensis
207,5132117677.025294,Mus fragilicauda
208,25718193687.20438,Kerodon acrobata
209,1669090501.3879747,Eliurus petteri
210,7432099724.966663,Thylamys tatei
211,809618696987.053,Mico melanurus
212,112316578369.22223,Mico melanurus
213,623713957.7801988,Trinomys mirapitanga
214,96307108.14797387,Pteropus keyensis
215,20551175141.079346,Crocidura caspica
216,3512186200.539419,Funisciurus duchaillui
217,1343575071387.2988,Plecotus kolombatovici
218,12276901544.084145,Plecotus kolombatovici
219,13867472580.690094,Plecotus kolombatovici
220,94167744253.02005,Plecotus kolombatovici
221,217122274.34549192,Thomasomys ucucha
222,619331800.3887202,Cryptotis mayensis
223,153569519967.03613,Cryptotis mayensis
224,576022020.5223889,Uromys siebersi
225,416488711.1408289,Pteropus keyensis
226,684342960.100482,Ctenomys fochi
227,730722137696.7317,Steatomys opimus
228,2471064921.8877807,Rhagomys longilingua
229,37714243983.59925,Microtus dogramacii
230,4659582059.525803,Chacodelphys formosa
231,854539545.5617344,Ctenomys juris
232,5591081182.969213,Scotophilus collinus
233,1288191682.7283607,Scotophilus collinus
234,13145790964.902235,Moschiola kathygre
235,14346558490.093061,Scotophilus collinus
236,27794875.309005417,Scotophilus collinus
237,64817492582.83573,Scotophilus collinus
238,4738179047.565305,Scotophilus collinus
239,1272778955.6038413,Scotophilus collinus
240,222554085.11936817,Scotophilus collinus
241,29533845396.264633,Scotophilus collinus
242,11089208444.497654,Scotophilus collinus
243,1180518376.0258377,Lepilemur mittermeieri
244,285887.5979866838,Nyctophilus nebulosus
245,627790771455.1199,Kerivoula titania
246,43499843119.050865,Microcebus griseorufus
247,4095761257013.7847,Pipistrellus pygmaeus
248,15939625995.377586,Pipistrellus pygmaeus
249,609438170852.9685,Pipistrellus pygmaeus
250,167476701957.21442,Pipistrellus pygmaeus
251,8385251635.200161,Chodsigoa sodalis
252,4497613598.297619,Pipistrellus pygmaeus
253,8614079.34171166,Pipistrellus murrayi
254,2722504248.5132656,Tapecomys primus
255,6043067862.431261,Cryptotis colombiana
256,2178426717.145206,Pipistrellus pygmaeus
257,314889219.90941143,Pipistrellus hesperidus
258,492073099.166459,Pipistrellus pygmaeus
259,152751370473.03506,Leopoldamys ciliatus
260,7964745938.265347,Lepilemur seali
261,1057688373958.1351,Sapajus nigritus
262,1004584082.3139223,Amphinectomys savamis
263,2713431272.631779,Cryptotis brachyonyx
264,1685581208816.3203,Pipistrellus hesperidus
265,377968968.8203769,Pipistrellus hesperidus
266,632914395.9798028,Pipistrellus hesperidus
267,633714780.4059508,Pipistrellus hesperidus
268,1095410193926.2383,Nectomys apicalis
269,11088449262.2086,Nectomys apicalis
270,447175088.6883207,Myoictis wallacei
271,3791348951.772836,Myoictis wallacei
272,53468361890.98913,Myoictis wallacei
273,2369843347488.8804,Perodicticus edwardsi
274,1184941592.8900914,Mogera etigo
275,30022509223.6001,Cryptotis montivaga
276,55824200194.311584,Ammotragus lervia
277,516826607017.98737,Ammotragus lervia
278,1122704534692.8738,Marmosops impavidus
279,190664208083.43195,Ammotragus lervia
280,135470839273.54593,Ammotragus lervia
281,267303564737.67844,Alouatta pigra
282,9813847.60047291,Geocapromys ingrahami
283,12438929.040564965,Geocapromys ingrahami
284,6187287867350.652,Glaucomys volans
285,164142836897.82294,Sciurus vulgaris
