Binomial,Range size (sq km),Log10 range size,Body mass (g),Log10 body mass,Population density (individuals/ha),Log10 population density,Study area (ha),Log10 study area,iqr mean annual temperature,iqr precipitation,iqr seasonality,iqr altitude,iqr NPP,iqr solar radiation,Diet (Proxy for Trophic level),Biogeographical realm,Range size within biogeographical realm (sq km),Population density and study area reference,Taxonomic group
Ara severus,5824260.906,6.765,343.000,2.535,0.011,-1.959,2.500,0.398,259.000,2208.000,522.000,174.000,11.988,42.904,Herbivorous,Neotropic,5820391.693,"Thiollay, J. M. (1986) Structure comparee du peuplement avien dans trois sites de foret primaire en Guyane. Revue d'Ecologie (Terre et la Vie) 41: 59-105.",Birds
Aramides cajanea,13569087.770,7.133,397.000,2.599,0.005,-2.301,2.500,0.398,254.000,1756.000,741.000,213.000,11.928,50.158,Omnivorous,Neotropic,13567921.610,"Thiollay, J. M. (1986) Structure comparee du peuplement avien dans trois sites de foret primaire en Guyane. Revue d'Ecologie (Terre et la Vie) 41: 59-105.",Birds
Aratinga leucophthalma,8731055.832,6.941,158.000,2.199,0.060,-1.222,97.000,1.987,251.000,1728.500,736.000,218.000,11.942,48.925,Herbivorous,Neotropic,8727404.075,"Terborgh, J., Robinson, S. K., Parker, T. A., Munn, C. A. and Pierpont, N. (1990) Structure and organization of an Amazonian Forest bird community. Ecological Monographs 60: 213-238.",Birds
Arborophila brunneopectus,486277.430,5.687,291.470,2.465,0.280,-0.553,0.280,-0.553,222.000,1534.000,2775.000,786.000,11.767,51.725,Omnivorous,Indo-Malay,486275.390,"Hill, M. Eames, J. C., Trai, L. T. and Cu, N. (2001) Population sizes, status and habitat associations of forest birds in Chu Yang Sin Nature Reserve, Dak Lak Province, Vietnam. Bird Conservation International 11: 49-70.",Birds
Ardeotis kori,3565953.142,6.552,7994.160,3.903,0.001,-2.921,20.000,1.301,204.000,419.000,3447.000,1080.000,11.203,73.500,Omnivorous,Afrotropic,3565951.116,"Dean, W. R. J. (1995) Where birds are rare or fill the air: the protection of the endemic and the nomadic avifaunas of the Karoo. PhD thesis, Zoology Dept, University of Cape Town.",Birds
Arremon taciturnus,6904096.416,6.839,24.800,1.394,0.010,-2.000,97.000,1.987,258.000,1929.000,592.000,212.000,11.986,48.617,Omnivorous,Neotropic,6900557.426,"Terborgh, J., Robinson, S. K., Parker, T. A., Munn, C. A. and Pierpont, N. 1990 Structure and organization of an Amazonian Forest bird community. Ecological Monographs 60: 213-238.",Birds
Arremon torquatus,449521.876,5.653,41.960,1.623,1.500,0.176,101.300,2.006,170.000,1081.000,608.000,2114.000,11.633,50.625,Omnivorous,Neotropic,449525.111,"Cresswell, W., Hughes, M., Mellanby, R., Bright, S., Catry, P., Chaves, J., Freile, J., Gabela, A., Martineau, H., Macleod, R., McPhie, F., Anderson, N., Holt, S., Barabas, S., Chapel, C. and Sanchez, T. (1999) Densities and habitat preferences of Andean Densities and habitat preferences of Andean cloud-forest birds in pristine and degraded habitats in north-eastern Ecuador. Bird Conservation International 9:129-145.",Birds
Asio capensis,7713907.458,6.887,334.000,2.524,35.000,1.544,830.000,2.919,221.000,980.000,1989.000,995.000,11.733,64.492,Carnivorous,Afrotropic,7666772.987,"Mendelsohn, J. M. (1989) Habitat preferences, population size, food and breeding of six owl species in the Springbok Flats, South Africa. Ostrich 60: 183-190.",Birds
Asthenes anthoides,195055.401,5.290,22.300,1.348,1.150,0.061,25.000,1.398,61.000,545.000,3594.500,437.000,11.339,46.042,Carnivorous,Neotropic,194469.998,"Ralph, C.J. 1985. Habitat association patterns of forest and steppe birds of northern Patagonia, Argentina. Condor 87:471-483.",Birds
Asthenes pyrrholeuca,1109428.133,6.045,13.200,1.121,1.850,0.267,25.000,1.398,106.000,231.000,5060.000,449.000,10.850,57.350,Carnivorous,Neotropic,1107969.309,"Ralph, C.J. 1985. Habitat association patterns of forest and steppe birds of northern Patagonia, Argentina. Condor 87:471-483.",Birds
Atlapetes pallidinucha,97973.175,4.991,34.560,1.539,0.400,-0.398,101.300,2.006,134.000,1652.000,363.500,2639.000,11.555,35.575,Omnivorous,Neotropic,97973.670,"Cresswell et al. (1999) Densities and habitat preferences of Andean cloud-forest birds in pristine and degraded habitats in north-eastern Ecuador. Bird Conservational Internetional, 9, 29-145",Birds
Atlapetes rufinucha,39008.500,4.591,21.540,1.333,0.300,-0.523,101.300,2.006,186.000,1310.000,1468.000,1929.000,11.799,57.246,Omnivorous,Neotropic,39008.500,"Cresswell et al. (1999) Densities and habitat preferences of Andean cloud-forest birds in pristine and degraded habitats in north-eastern Ecuador. Bird Conservational Internetional, 9, 29-145",Birds
Atlapetes schistaceus,160903.649,5.207,28.040,1.448,0.350,-0.456,101.300,2.006,151.500,1730.500,377.000,2343.500,11.552,38.425,Omnivorous,Neotropic,160902.037,"Cresswell et al. (1999) Densities and habitat preferences of Andean cloud-forest birds in pristine and degraded habitats in north-eastern Ecuador. Bird Conservational Internetional, 9, 29-145",Birds
Attila bolivianus,2789944.806,6.446,39.500,1.597,0.080,-1.097,97.000,1.987,258.000,2109.000,525.000,159.000,11.991,42.542,Carnivorous,Neotropic,2787265.061,"Terborgh, J., Robinson, S. K., Parker, T. A., Munn, C. A. and Pierpont, N. 1990 Structure and organization of an Amazonian Forest bird community. Ecological Monographs 60: 213-238.",Birds
Attila cinnamomeus,5274580.278,6.722,38.800,1.589,0.004,-2.398,2.500,0.398,261.000,2357.000,483.000,147.000,11.993,42.779,Omnivorous,Neotropic,5271650.378,"Thiollay, J. M. (1986) Structure comparee du peuplement avien dans trois sites de foret primaire en Guyane. Revue d'Ecologie (Terre et la Vie) 41: 59-105.",Birds
Attila spadiceus,7244082.446,6.860,39.100,1.592,0.080,-1.097,97.000,1.987,259.000,2249.000,515.000,159.000,11.989,44.675,Omnivorous,Neotropic,7208005.286,"Thiollay, J-M. 1992 Influence of selective logging on bird species diversity in a Guianan rain forest. Cons. Biol. 6: 47-63",Birds
Automolus infuscatus,5987920.031,6.777,32.900,1.517,0.055,-1.260,180.000,2.255,260.000,2301.000,475.000,165.000,11.995,43.067,Carnivorous,Neotropic,5985324.732,"Thiollay, J-M. 1992 Influence of selective logging on bird species diversity in a Guianan rain forest. Cons. Biol. 6: 47-63",Birds
Automolus ochrolaemus,6428685.678,6.808,40.200,1.604,0.035,-1.456,180.000,2.255,258.000,2307.000,509.000,178.000,11.991,43.296,Carnivorous,Neotropic,6423853.370,"Terborgh, J., Robinson, S. K., Parker, T. A., Munn, C. A. and Pierpont, N. 1990 Structure and organization of an Amazonian Forest bird community. Ecological Monographs 60: 213-238.",Birds
Automolus rubiginosus,2136069.668,6.330,39.800,1.600,0.032,-1.495,2.500,0.398,254.000,2313.000,530.000,277.000,11.990,45.325,Carnivorous,Neotropic,2133714.292,"Thiollay, J. M. (1986) Structure comparee du peuplement avien dans trois sites de foret primaire en Guyane. Revue d'Ecologie (Terre et la Vie) 41: 59-105.",Birds
Automolus rufipileatus,4007304.924,6.603,34.800,1.542,0.025,-1.602,180.000,2.255,259.000,2302.000,491.000,168.000,11.995,43.567,Carnivorous,Neotropic,4005122.147,"Munn, C. 1995 Permanent canopy and understory flocks in Amazonia: species composition and population density. Ecological Monographs 36: 683-712",Birds
Basileuterus luteoviridis,241838.326,5.384,12.920,1.111,0.100,-1.000,101.300,2.006,148.000,1258.000,512.000,2557.000,11.538,45.325,Carnivorous,Neotropic,241836.412,"Cresswell et al. (1999) Densities and habitat preferences of Andean cloud-forest birds in pristine and degraded habitats in north-eastern Ecuador. Bird Conservational Internetional, 9, 29-145",Birds
Basileuterus nigrocristatus,193213.888,5.286,13.640,1.135,1.100,0.041,101.300,2.006,146.000,1216.000,381.500,2503.500,11.538,40.563,Carnivorous,Neotropic,193218.821,"Cresswell et al. (1999) Densities and habitat preferences of Andean cloud-forest birds in pristine and degraded habitats in north-eastern Ecuador. Bird Conservational Internetional, 9, 29-145",Birds
Bathmocercus rufus,645206.948,5.810,15.400,1.188,1.667,0.222,8.100,0.908,238.000,1640.500,616.000,621.000,11.965,41.408,Carnivorous,Afrotropic,645207.622,"Zimmerman, D. A. (1972) The avifauna of the Kakamega forest, Western Kenya, including a bird population study. Bull Am Mus Nat Hist 149: 235-340.",Birds
Batis capensis,490611.774,5.691,11.740,1.070,0.020,-1.699,100.000,2.000,177.000,794.000,3010.000,782.000,11.638,64.592,Carnivorous,Afrotropic,490587.469,"Vernon, C. J. (1985) Bird populations in two woodlands near Lake Kyle, Zimbabwe. Honeyguide 31: 148-161.",Birds
Batis molitor,5233469.342,6.719,11.640,1.066,0.267,-0.574,100.000,2.000,214.000,872.000,2401.000,1101.000,11.706,65.017,Carnivorous,Afrotropic,5233481.511,"Vernon, C. J. (1985) Bird populations in two woodlands near Lake Kyle, Zimbabwe. Honeyguide 31: 148-161.",Birds
Blythipicus pyrrhotis,1622560.039,6.210,132.000,2.121,0.280,-0.553,0.280,-0.553,190.000,1521.000,4225.000,868.000,11.664,46.158,Carnivorous,Indo-Malay,1289384.935,"Hill, M. Eames, J. C., Trai, L. T. and Cu, N. (2001) Population sizes, status and habitat associations of forest birds in Chu Yang Sin Nature Reserve, Dak Lak Province, Vietnam. Bird Conservation International 11: 49-70.",Birds
Brachygalba lugubris,4798733.356,6.681,15.900,1.201,0.015,-1.839,2.500,0.398,256.000,2032.000,600.000,240.000,11.981,48.017,Carnivorous,Neotropic,4797588.751,"Thiollay, J. M. (1986) Structure comparee du peuplement avien dans trois sites de foret primaire en Guyane. Revue d'Ecologie (Terre et la Vie) 41: 59-105.",Birds
Bradornis infuscatus,1446633.917,6.160,32.400,1.511,0.237,-0.625,8.720,0.941,197.000,315.000,4518.000,1081.000,11.025,78.492,Carnivorous,Afrotropic,1446646.451,"Winterbottom, J. M. (1946) The density of Karroo birds. Ostrich 17: 172-176.",Birds
Bradornis mariquensis,1651189.560,6.218,25.180,1.401,0.570,-0.244,100.000,2.000,202.000,415.000,3981.000,1111.000,11.192,75.908,Carnivorous,Afrotropic,1651188.682,"Tarboton, W. R. (1980) Avan populations in the Transvaal savanna. Proc. IV Pan-Afr. Orn. Congr. 113-124.",Birds
Bradornis pallidus,9110376.035,6.960,23.600,1.373,0.067,-1.174,100.000,2.000,236.000,1050.000,1596.000,731.000,11.716,63.092,Carnivorous,Afrotropic,9110381.615,"Vernon, C. J. (1985) Bird populations in two woodlands near Lake Kyle, Zimbabwe. Honeyguide 31: 148-161.",Birds
Bradypterus carpalis,116122.085,5.065,22.370,1.350,21.000,1.322,1.000,0.000,213.000,1149.000,540.000,1291.000,11.838,53.325,Carnivorous,Afrotropic,116122.079,"Britton, P. L. (1978) Seasonality, density and diversity of birds of a papyrus swamp in western Kenya. Ibis 120: 450-464.",Birds
Brotogeris chrysoptera,3112052.699,6.493,54.500,1.736,18.400,1.265,0.250,-0.602,263.000,2198.000,479.000,130.000,12.001,46.917,Herbivorous,Neotropic,3108661.927,"Thiollay, J-M. (1992) Influence of selective logging on bird species diversity in a Guianan rain forest. Cons. Biol. 6: 47-63",Birds
Brotogeris cyanoptera,2567443.237,6.410,56.000,1.748,0.320,-0.495,97.000,1.987,258.000,2473.000,544.000,181.000,11.985,40.492,Herbivorous,Neotropic,2567470.629,"Terborgh, J., Robinson, S. K., Parker, T. A., Munn, C. A. and Pierpont, N. 1990 Structure and organization of an Amazonian Forest bird community. Ecological Monographs 60: 213-238.",Birds
Brotogeris tirica,288586.674,5.460,63.000,1.799,0.230,-0.638,80.000,1.903,218.000,1357.000,2076.000,288.500,11.902,46.392,Herbivorous,Neotropic,287649.160,"Marsden, S. J., Whiffin, W., Sadgrove, L. and Guimaraes, P. Jr (2000) Parrot populations and habitat use in and around two lowland Atlantic forest reserves. Biological Conservation 96: 209-217.",Birds
Bubalornis albirostris,2317198.022,6.365,61.900,1.792,0.280,-0.553,0.346,-0.461,275.000,616.000,2344.500,354.000,11.229,68.983,Omnivorous,Afrotropic,2317197.699,"Jones, P., Vickery, J., Holt, S. and Cresswell, W. (1996) A preliminary assessment of some factors influencing the density and distribution of palearctic passerine migrants wintering in the Sahel zone of West Africa. Bird Study 43: 73-84.",Birds
Bubo africanus,9184829.183,6.963,685.000,2.836,0.005,-2.273,100.000,2.000,215.000,817.000,2514.000,1026.000,11.668,65.850,Carnivorous,Afrotropic,9037427.704,"Vernon, C. J. (1985) Bird populations in two woodlands near Lake Kyle, Zimbabwe. Honeyguide 31: 148-161.",Birds
Bucco capensis,5454736.706,6.737,54.000,1.732,0.013,-1.903,2.500,0.398,261.000,2355.000,479.000,150.000,11.993,42.813,Carnivorous,Neotropic,5452046.266,"Thiollay, J. M. (1986) Structure comparee du peuplement avien dans trois sites de foret primaire en Guyane. Revue d'Ecologie (Terre et la Vie) 41: 59-105.",Birds
Bucco macrodactylus,3329762.297,6.522,25.000,1.398,0.020,-1.699,97.000,1.987,260.000,2532.000,459.000,160.000,11.990,40.671,Carnivorous,Neotropic,3329796.436,"Terborgh, J., Robinson, S. K., Parker, T. A., Munn, C. A. and Pierpont, N. 1990 Structure and organization of an Amazonian Forest bird community. Ecological Monographs 60: 213-238.",Birds
Buphagus erythrorhynchus,2861535.494,6.457,50.740,1.705,0.388,-0.412,0.280,-0.553,222.000,569.000,1575.000,953.000,11.478,69.504,Carnivorous,Afrotropic,2861526.311,"Monadjem, A. (2002) Population densities and community structure of birds in Acacia savanna in the lowveld of Swaziland. Ostrich 73: 11-19.",Birds
Burhinus capensis,12420326.170,7.094,422.990,2.626,0.040,-1.398,100.000,2.000,231.000,669.000,2338.000,728.000,11.476,68.367,Carnivorous,Afrotropic,12412920.610,"Winterbottom, J. M. (1946) The density of Karroo birds. Ostrich 17: 172-176.",Birds
Buteo polyosoma,3165515.003,6.500,782.610,2.894,0.100,-1.000,25.000,1.398,97.000,300.000,3499.000,958.000,10.975,58.929,Carnivorous,Neotropic,3163806.909,"Ralph, C.J. 1985. Habitat association patterns of forest and steppe birds of northern Patagonia, Argentina. Condor 87:471-483.",Birds
Buteo rufofuscus,1533801.264,6.186,1530.000,3.185,0.037,-1.431,8.720,0.941,173.000,351.000,4243.000,1061.000,11.073,75.742,Carnivorous,Afrotropic,1533748.070,"Winterbottom, J. M. (1946) The density of Karroo birds. Ostrich 17: 172-176.",Birds
Buteogallus urubitinga,13125075.250,7.118,1152.870,3.062,0.005,-2.347,2.500,0.398,254.000,1760.000,755.000,203.000,11.928,50.158,Carnivorous,Neotropic,13063407.110,"Thiollay, J. M. (1986) Structure comparee du peuplement avien dans trois sites de foret primaire en Guyane. Revue d'Ecologie (Terre et la Vie) 41: 59-105.",Birds
Buthraupis montana,299438.660,5.476,87.080,1.940,0.479,-0.320,250.000,2.398,139.000,1228.000,448.000,2671.000,11.497,42.017,Herbivorous,Neotropic,299447.311,"Jacobs, M. D. and Walker, J. S. (1999) Density estimates of birds inhabiting fragments of cloud forest in southern Ecuador Bird Conservation Internatoinal 9:73-79",Birds
Cacicus cela,8861676.454,6.948,85.450,1.932,0.500,-0.301,97.000,1.987,259.000,2114.000,539.000,177.000,11.986,45.925,Herbivorous,Neotropic,8855860.578,"Terborgh, J., Robinson, S. K., Parker, T. A., Munn, C. A. and Pierpont, N. 1990 Structure and organization of an Amazonian Forest bird community. Ecological Monographs 60: 213-238.",Birds
Cacicus haemorrhous,8041885.268,6.905,83.710,1.923,0.049,-1.310,2.500,0.398,255.000,2033.000,594.000,205.000,11.986,45.942,Carnivorous,Neotropic,8038971.879,"Thiollay, J-M. 1992 Influence of selective logging on bird species diversity in a Guianan rain forest. Cons. Biol. 6: 47-63",Birds
Cacicus leucoramphus,217067.604,5.337,63.730,1.804,0.574,-0.241,250.000,2.398,157.000,1525.000,477.000,2329.000,11.612,42.658,Carnivorous,Neotropic,217072.249,"Jacobs, M. D. and Walker, J. S. (1999) Density estimates of birds inhabiting fragments of cloud forest in southern Ecuador Bird Conservation Internatoinal 9:73-79",Birds
Cacicus solitarius,8791521.437,6.944,79.760,1.902,0.010,-2.000,97.000,1.987,253.000,1683.000,765.000,208.000,11.920,50.621,Carnivorous,Neotropic,8789199.745,"Terborgh, J., Robinson, S. K., Parker, T. A., Munn, C. A. and Pierpont, N. 1990 Structure and organization of an Amazonian Forest bird community. Ecological Monographs 60: 213-238.",Birds
Calandrella brachydactyla,13066137.580,7.116,21.060,1.323,0.080,-1.097,8.500,0.929,80.000,285.000,10304.000,896.000,10.890,63.192,Carnivorous,Palearctic,13038284.320,"Moreira, F. and Leitao, D. (1996) A preliminary study of the breeding bird community of fallows of cereal steppes in southern Portugal. Bird Conservation International 6: 255-259.",Birds
Calandrella cinerea,5940192.089,6.774,23.700,1.375,0.001,-3.046,20.000,1.301,205.000,688.000,2957.000,1116.000,11.554,68.237,Herbivorous,Afrotropic,5938702.475,"Dean, W. R. J. (1995) Where birds are rare or fill the air: the protection of the endemic and the nomadic avifaunas of the Karoo. PhD thesis, Zoology Dept, University of Cape Town.",Birds
Callipepla californica,1087173.108,6.036,165.700,2.219,0.550,-0.260,25.000,1.398,91.000,401.000,6605.000,933.000,11.352,64.162,Herbivorous,Nearctic,1076269.811,"Cody, M. L. (2001) Patterns of endemism, distribution and density in the birds of mediterranean-type ecosystems on two continents. J. Mediterranean Ecol. 2: 259-281.",Birds
Camaroptera brachyura,15668077.100,7.195,9.740,0.989,0.075,-1.125,100.000,2.000,246.000,1056.000,1533.000,561.000,11.715,62.933,Carnivorous,Afrotropic,15668018.160,"Vernon, C. J. (1985) Bird populations in two woodlands near Lake Kyle, Zimbabwe. Honeyguide 31: 148-161.",Birds
Camaroptera chloronota,2973827.980,6.473,11.400,1.057,1.481,0.171,8.100,0.908,250.000,1703.000,673.000,400.000,11.928,45.550,Carnivorous,Afrotropic,2973822.425,"Zimmerman, D. A. (1972) The avifauna of the Kakamega forest, Western Kenya, including a bird population study. Bull Am Mus Nat Hist 149: 235-340.",Birds
Campephaga flava,5014282.715,6.700,32.300,1.509,0.142,-0.849,100.000,2.000,217.000,950.000,1891.000,1058.000,11.748,63.925,Carnivorous,Afrotropic,5014253.945,"Vernon, C. J. (1985) Bird populations in two woodlands near Lake Kyle, Zimbabwe. Honeyguide 31: 148-161.",Birds
Campephaga phoenicea,4733824.744,6.675,27.100,1.433,0.067,-1.174,100.000,2.000,260.000,1170.000,1336.000,466.000,11.696,61.592,Carnivorous,Afrotropic,4733455.303,"Tarboton, W. R. (1980) Avan populations in the Transvaal savanna. Proc. IV Pan-Afr. Orn. Congr. 113-124.",Birds
Campephilus magellanicus,395312.867,5.597,324.000,2.511,0.100,-1.000,25.000,1.398,62.000,1427.000,3198.000,488.500,11.385,50.296,Carnivorous,Neotropic,383372.249,"Ralph, C.J. 1985. Habitat association patterns of forest and steppe birds of northern Patagonia, Argentina. Condor 87:471-483.",Birds
Campephilus melanoleucos,11098986.800,7.045,256.000,2.408,0.005,-2.301,97.000,1.987,257.000,1918.000,594.000,214.000,11.973,48.617,Carnivorous,Neotropic,11093518.470,"Terborgh, J., Robinson, S. K., Parker, T. A., Munn, C. A. and Pierpont, N. 1990 Structure and organization of an Amazonian Forest bird community. Ecological Monographs 60: 213-238.",Birds
Campephilus rubricollis,6911198.406,6.840,210.710,2.324,0.020,-1.699,97.000,1.987,259.000,2235.000,504.000,177.000,11.992,43.813,Carnivorous,Neotropic,6909447.123,"Terborgh, J., Robinson, S. K., Parker, T. A., Munn, C. A. and Pierpont, N. 1990 Structure and organization of an Amazonian Forest bird community. Ecological Monographs 60: 213-238.",Birds
Campethera abingoni,7182410.563,6.856,67.520,1.829,0.040,-1.398,100.000,2.000,219.000,874.000,2429.000,1030.000,11.682,66.058,Carnivorous,Afrotropic,7182955.075,"Tarboton, W. R. (1980) Avan populations in the Transvaal savanna. Proc. IV Pan-Afr. Orn. Congr. 113-124.",Birds
Campethera bennettii,4469744.817,6.650,70.100,1.846,148.850,2.173,100.000,2.000,211.000,808.000,2813.000,1113.000,11.655,67.671,Carnivorous,Afrotropic,4469765.719,"Tarboton, W. R. (1980) Avan populations in the Transvaal savanna. Proc. IV Pan-Afr. Orn. Congr. 113-124.",Birds
Campylopterus largipennis,6522441.213,6.814,8.300,0.919,0.020,-1.699,97.000,1.987,259.000,2213.000,489.000,171.000,11.993,44.067,Herbivorous,Neotropic,6520335.622,"Terborgh, J., Robinson, S. K., Parker, T. A., Munn, C. A. and Pierpont, N. 1990 Structure and organization of an Amazonian Forest bird community. Ecological Monographs 60: 213-238.",Birds
Campylorhamphus procurvoides,3450147.040,6.538,33.500,1.525,0.014,-1.870,2.500,0.398,261.000,2403.000,452.000,125.000,11.997,42.408,Carnivorous,Neotropic,3449858.374,"Thiollay, J. M. (1986) Structure comparee du peuplement avien dans trois sites de foret primaire en Guyane. Revue d'Ecologie (Terre et la Vie) 41: 59-105.",Birds
Campylorhamphus trochilirostris,7392722.325,6.869,40.800,1.611,0.010,-2.000,180.000,2.255,250.000,1481.000,936.000,233.000,11.850,53.758,Carnivorous,Neotropic,7388050.522,"Terborgh, J., Robinson, S. K., Parker, T. A., Munn, C. A. and Pierpont, N. 1990 Structure and organization of an Amazonian Forest bird community. Ecological Monographs 60: 213-238.",Birds
Campylorhynchus turdinus,4443363.035,6.648,32.600,1.513,0.060,-1.222,97.000,1.987,256.000,1996.000,548.000,186.000,11.985,43.225,Carnivorous,Neotropic,4443075.162,"Terborgh, J., Robinson, S. K., Parker, T. A., Munn, C. A. and Pierpont, N. 1990 Structure and organization of an Amazonian Forest bird community. Ecological Monographs 60: 213-238.",Birds
Capito niger,1107268.220,6.044,57.370,1.759,0.210,-0.678,97.000,1.987,264.000,2220.000,579.000,146.000,12.016,51.517,Herbivorous,Neotropic,1106431.957,"Thiollay, J-M. 1992 Influence of selective logging on bird species diversity in a Guianan rain forest. Cons. Biol. 6: 47-63",Birds
Caprimulgus climacurus,7903830.501,6.898,45.800,1.661,0.230,-0.638,0.346,-0.461,267.000,1032.000,1647.000,415.000,11.599,63.333,Carnivorous,Afrotropic,7834548.636,"Jones, P., Vickery, J., Holt, S. and Cresswell, W. (1996) A preliminary assessment of some factors influencing the density and distribution of palearctic passerine migrants wintering in the Sahel zone of West Africa. Bird Study 43: 73-84.",Birds
Caprimulgus nigrescens,4123602.646,6.615,35.700,1.553,0.014,-1.870,2.500,0.398,261.000,2260.000,483.000,170.000,11.995,43.767,Carnivorous,Neotropic,4122831.720,"Thiollay, J. M. (1986) Structure comparee du peuplement avien dans trois sites de foret primaire en Guyane. Revue d'Ecologie (Terre et la Vie) 41: 59-105.",Birds
Caprimulgus pectoralis,5727105.803,6.758,51.430,1.711,0.020,-1.699,100.000,2.000,221.000,994.000,2189.000,1016.000,11.742,63.908,Carnivorous,Afrotropic,5727071.946,"Vernon, C. J. (1985) Bird populations in two woodlands near Lake Kyle, Zimbabwe. Honeyguide 31: 148-161.",Birds
Caprimulgus rufigena,3067547.452,6.487,51.960,1.716,0.067,-1.174,100.000,2.000,202.000,475.000,3790.500,1119.000,11.346,73.917,Carnivorous,Afrotropic,3067785.038,"Tarboton, W. R. (1980) Avan populations in the Transvaal savanna. Proc. IV Pan-Afr. Orn. Congr. 113-124.",Birds
Carduelis barbata,1114333.200,6.047,15.500,1.190,0.650,-0.187,25.000,1.398,87.000,248.000,4469.000,483.000,10.854,51.708,Herbivorous,Neotropic,1108381.635,"Ralph, C.J. 1985. Habitat association patterns of forest and steppe birds of northern Patagonia, Argentina. Condor 87:471-483.",Birds
Caryothraustes canadensis,2746152.046,6.439,34.500,1.538,0.057,-1.244,2.500,0.398,264.000,2245.000,524.000,129.000,11.998,49.117,Herbivorous,Neotropic,2742641.727,"Thiollay, J-M. 1992 Influence of selective logging on bird species diversity in a Guianan rain forest. Cons. Biol. 6: 47-63",Birds
Catamenia homochroa,283912.919,5.453,12.200,1.086,0.550,-0.260,101.300,2.006,157.000,1323.000,543.500,2340.500,11.603,45.092,Herbivorous,Neotropic,283912.447,"Cresswell et al. (1999) Densities and habitat preferences of Andean cloud-forest birds in pristine and degraded habitats in north-eastern Ecuador. Bird Conservational Internetional, 9, 29-145",Birds
Catamenia inornata,801502.559,5.904,13.400,1.127,0.800,-0.097,101.300,2.006,112.000,677.500,1710.000,3105.000,11.320,58.492,Herbivorous,Neotropic,801508.998,"Cresswell et al. (1999) Densities and habitat preferences of Andean cloud-forest birds in pristine and degraded habitats in north-eastern Ecuador. Bird Conservational Internetional, 9, 29-145",Birds
Cathartes melambrotus,6652383.212,6.823,1373.000,3.138,0.005,-2.301,97.000,1.987,260.000,2254.000,489.000,171.000,11.993,43.500,Carnivorous,Neotropic,6650446.909,"Terborgh, J., Robinson, S. K., Parker, T. A., Munn, C. A. and Pierpont, N. 1990 Structure and organization of an Amazonian Forest bird community. Ecological Monographs 60: 213-238.",Birds
Celeus elegans,6509924.982,6.814,134.970,2.130,0.027,-1.577,2.500,0.398,260.000,2274.000,505.000,165.000,11.993,43.738,Carnivorous,Neotropic,6507810.134,"Thiollay, J-M. 1992 Influence of selective logging on bird species diversity in a Guianan rain forest. Cons. Biol. 6: 47-63",Birds
Celeus flavus,6199065.141,6.792,147.330,2.168,0.040,-1.398,97.000,1.987,260.000,2220.000,522.000,166.000,11.989,43.479,Carnivorous,Neotropic,6196431.242,"Terborgh, J., Robinson, S. K., Parker, T. A., Munn, C. A. and Pierpont, N. 1990 Structure and organization of an Amazonian Forest bird community. Ecological Monographs 60: 213-238.",Birds
Celeus grammicus,3990169.140,6.601,73.440,1.866,0.080,-1.097,97.000,1.987,259.000,2398.000,469.000,164.000,11.992,41.392,Omnivorous,Neotropic,3989958.561,"Terborgh, J., Robinson, S. K., Parker, T. A., Munn, C. A. and Pierpont, N. 1990 Structure and organization of an Amazonian Forest bird community. Ecological Monographs 60: 213-238.",Birds
Celeus torquatus,1895760.578,6.278,134.000,2.127,0.030,-1.523,97.000,1.987,264.000,2100.000,512.000,145.000,12.009,49.383,Omnivorous,Neotropic,1894917.298,"Thiollay, J. M. (1986) Structure comparee du peuplement avien dans trois sites de foret primaire en Guyane. Revue d'Ecologie (Terre et la Vie) 41: 59-105.",Birds
Celeus undatus,1588740.293,6.201,64.500,1.810,0.009,-2.046,2.500,0.398,265.000,2203.000,537.000,119.000,12.008,50.496,Carnivorous,Neotropic,1586701.343,"Thiollay, J. M. (1986) Structure comparee du peuplement avien dans trois sites de foret primaire en Guyane. Revue d'Ecologie (Terre et la Vie) 41: 59-105.",Birds
Centropus senegalensis,9872447.085,6.994,169.000,2.228,0.020,-1.699,100.000,2.000,253.000,1100.000,1534.000,467.000,11.687,62.875,Carnivorous,Afrotropic,9829847.951,"Jones, P., Vickery, J., Holt, S. and Cresswell, W. (1996) A preliminary assessment of some factors influencing the density and distribution of palearctic passerine migrants wintering in the Sahel zone of West Africa. Bird Study 43: 73-84.",Birds
Centropus superciliosus,7293083.377,6.863,148.450,2.172,0.033,-1.481,0.280,-0.553,223.000,909.000,1649.000,1032.000,11.716,65.400,Omnivorous,Afrotropic,7285090.075,"Monadjem, A. (2002) Population densities and community structure of birds in Acacia savanna in the lowveld of Swaziland. Ostrich 73: 11-19.",Birds
Cercomacra cinerascens,6701035.314,6.826,14.300,1.155,0.340,-0.469,97.000,1.987,259.000,2263.000,499.000,173.000,11.993,43.533,Carnivorous,Neotropic,6698404.735,"Terborgh, J., Robinson, S. K., Parker, T. A., Munn, C. A. and Pierpont, N. 1990 Structure and organization of an Amazonian Forest bird community. Ecological Monographs 60: 213-238.",Birds
Cercomacra nigrescens,3915434.975,6.593,16.500,1.217,0.011,-1.959,2.500,0.398,256.000,2126.000,500.000,192.000,11.994,42.558,Carnivorous,Neotropic,3915262.868,"Thiollay, J. M. (1986) Structure comparee du peuplement avien dans trois sites de foret primaire en Guyane. Revue d'Ecologie (Terre et la Vie) 41: 59-105.",Birds
