Binomial,Range size (sq km),Log10 range size,Body mass (g),Log10 body mass,Population density (individuals/ha),Log10 population density,Study area (ha),Log10 study area,iqr mean annual temperature,iqr precipitation,iqr seasonality,iqr altitude,iqr NPP,iqr solar radiation,Diet (Proxy for Trophic level),Biogeographical realm,Range size within biogeographical realm (sq km),Population density and study area reference,Taxonomic group
Aspidoscelis hyperythra,121629.276,5.085,10.691,1.029,76.000,1.881,1.100,0.041,41.000,159.250,533.000,394.000,0.405,9.517,Carnivorous,Nearctic,112871.786,"Karasov, W.H. & Anderson, R. a. (1984). Interhabitat Differences in Energy Acquisition and Expenditure in a Lizard. Ecology, 65, 235–247.",Lizards
Aspidoscelis inornata,710196.558,5.851,18.578,1.269,1.300,0.114,1.000,0.000,36.500,96.000,2299.000,562.000,0.302,17.333,Carnivorous,Nearctic,708833.581,"Shenbrot, G.I., Rogovin, K. a & Surov, a V. (1991). Comparative analysis of spatial organisation of desert lizard communities in Middle Asia and Mexico. Oikos, 61, 157–168.",Lizards
Aspidoscelis laredoensis,44668.824,4.650,21.429,1.331,430.000,2.633,2.900,0.462,10.000,62.000,754.000,97.000,0.133,3.825,Carnivorous,Nearctic,44663.648,"Paulissen, M.A. (2000). Life history and drought tolerance of the parthenogenetic whiptail lizard Cnemidophorus laredoensis (Teiidae). Herpetol. Nat. Hist., 7, 41–57.",Lizards
Aspidoscelis sexlineata,2861871.273,6.457,22.182,1.346,22.000,1.342,0.888,-0.052,53.000,655.000,2083.000,448.750,0.310,7.204,Carnivorous,Nearctic,2839133.611,"Bellis, E.D. (1964). A Summer Six-Lined Racerunner (Cnemidophorus sexlineatus) Population in South Carolina. Herpetologica, 20, 9–16.",Lizards
Aspidoscelis tigris,1866224.392,6.271,79.068,1.898,24.500,1.389,1.100,0.041,93.000,150.000,1934.000,1033.000,0.368,9.717,Carnivorous,Nearctic,1840174.079,"Parker, W.S. (1972). Aspects of the ecology of a Sonoran Desert population of the western gecko, Coleonyx variegatus (Sauria, Eublepharinae). Am. Midl. Nat., 88, 209–224.",Lizards
Atlantolacerta andreanskyi,25900.267,4.413,3.917,0.593,2950.000,3.470,0.020,-1.699,34.250,162.750,544.750,689.250,0.258,2.175,Carnivorous,Palearctic,25900.267,"Busack, S. D. (1987) Notes on the biology of Lacerta andreanszkyi (Reptilia: Lacertidae). Amphibia-Reptilia, 8, 231-236. ",Lizards
Bachia trisanale,1489565.430,6.173,1.439,0.158,2.308,0.363,2.600,0.415,6.000,759.000,182.250,123.250,0.013,5.204,Carnivorous,Neotropic,1489565.933,"Duellman, W.E. (1987). Lizards in an Amazonian Rain Forest Community Resouce Utilization and Abundance. Natl. Geogr. Res., 3, 489–500.",Lizards
Basiliscus basiliscus,337104.697,5.528,554.626,2.744,33.333,1.523,0.030,-1.523,24.000,1432.000,204.000,387.000,0.178,11.394,Omnivorous,Neotropic,336850.717,"Heatwole, H. & Sexton, O.J. (1966). Herpetofaunal comparision between two climatic zones in Panama. Am. Midl. Nat., 75, 45–60.",Lizards
Basiliscus vittatus,586698.058,5.768,393.550,2.595,27.550,1.440,3.400,0.531,15.000,1161.500,1032.500,279.500,0.145,4.483,Omnivorous,Neotropic,584424.491,"Hirth, H.F. (1963). The Ecology of Two Lizards on a Tropical Beach. Ecol. Monogr., 33, 83–112.",Lizards
Bellatorias frerei,318509.190,5.503,236.048,2.373,0.021,-1.684,2.400,0.380,41.000,734.500,1692.750,245.750,0.213,6.608,Omnivorous,Australasia,315650.159,"Williams, S. E., Williams, Y. M., VanDerWal, J., Isaac ,J.L., Shoo, L. P. and Johnson, C. N. (2009). Ecological specialization and population size in a biodiversity hotspot: how rare species avoid extinction. Proceedings of the National Academy of Sciences, USA, 106, 19737-19741.",Lizards
Bradypodion melanocephalum,21325.418,4.329,11.066,1.044,64.425,1.809,0.340,-0.469,28.500,77.000,559.000,700.750,0.058,2.915,Carnivorous,Afrotropic,21301.586,"Armstrong, A.J. (2010). Population estimate of Bradypodium melanocephalum at the Durban International Airport Eastern Precinct. African Herp News, 52, 2–7.",Lizards
