"","Range_size"
"12796",11297556947.7995
"12797",11573267393.8238
"12812",15826306784.8053
"12813",479520343995.144
"12814",4163747665718.14
"12815",20304004704.7929
"12816",10253637121.377
"12817",115031737.144763
"12819",79675456815.4316
"12820",68387754.030128
"12822",605182476702.515
"12823",20699917541.335
"12824",1459355694366.22
"12825",547910242500.489
"12826",2387800812137.93
"12827",2790427220.27787
"12828",2075021211.49216
"12829",606980346579.303
"12830",790385686293.491
"12831",1023357207992.21
"12832",1534491345398.77
"12835",212860316855.349
"12847",30613026308.2874
"12848",9929674929589.02
"12855",652446503406.545
"12863",39035458984.9868
"12865",1271248533130.29
"12866",7098368155868.44
"12868",16655440978915.2
"12869",96016470000.8432
"12891",3957805693.56604
"12892",77501069217.24
"12893",7430612165.70475
"12894",736958385.409397
"12895",144666760348.241
"12896",282595811.355708
"12897",12645857436.3483
"12898",77602800366.9836
"12899",38181709639.366
"12900",169337754275.056
"12901",126346992244.653
"12902",6004261157.192
"12903",13144027116.8775
"12904",1317194645120.36
"12905",2819980273859.97
"12906",782224262.869859
"12907",1321686457179.58
"12913",153629413308.803
"12914",53576674922.5642
"12937",6974969471.65629
"12938",6042090922907.65
"12939",4059232340300.04
"12940",1540703599.27973
"12941",4981052414.72313
"12942",271894635.432022
"12945",14103797986.2517
"12946",1274119409035.98
"12947",1321362112423.96
"12948",165916685400.491
"13046",748135408557.426
"13047",22782279678.4468
"13048",228847374.767437
"1307",181682747955.794
"13079",11404951328.037
"13110",19935800.1427502
"13114",1314217536.45851
"13115",12389127934.3405
"13116",492110478260.9
"13117",31410624679.5032
"13118",217518123242.428
"13119",22748589316.9984
"13120",129989242.275847
"13122",86029860856.7262
"13123",243984081588.666
"13124",27271382811.4016
"13125",175785869169.715
"13126",225112951442.515
"13127",79468890644.0598
"13128",2708401281.65021
"13129",496373431221.19
"13130",125631706738.337
"13131",234666786779.482
"13132",186.159893351747
"13133",769118528638.097
"13139",45239909223.7727
"13140",16782922250.58
"13141",16829600983.0786
"13143",1081004168080.19
"13144",1232122954791.62
"13159",257097806001.67
"13160",43171296163.4887
"13161",7566619177367.5
"13162",851415816.2996
"13163",480817193855.656
"13164",7831915588986.67
"13165",6162635387534.22
"13166",2222403477156.11
"13167",205685993812.526
"13168",8212932912.15004
"13169",2568257005399.96
"13170",901513449484.511
"13171",3276882412600.44
"13172",304025530741.201
"13173",134987212194.353
"13209",243285189235.161
"13211",237211175760.96
"13212",34779613026.4226
"13215",48998537.9729561
"13216",83012682.7169791
"13217",3843945079.15178
"13218",9012261.08590961
"13219",4704206283.7302
"13220",732898014872.721
"13221",38236103140.8287
"13222",141380802988.79
"13233",3605571717245.5
"13234",4948976376279.53
"13235",801266460.522611
"13237",437362907769.516
"13240",8817651770763.17
"13296",213003014515.057
"13297",1301221759783.92
"13319",1741369307170.96
"13320",155322589472.58
"13321",20781772765.2147
"13323",90416562340.2941
"13325",31213797309.6143
"13332",21628348759.9557
"13343",77835525392.45
"13344",1048639890.57852
"13349",92421460041.7844
"13350",89104731275.3951
"13355",22816237335.2644
"13356",9465518214.36968
"13373",18260734143342
"13375",1037073237692.8
"13376",3852822916553.76
"13377",4659985909699.49
"13378",6515654583112.75
"13379",12094005793514.6
"13380",12093262251375.5
"13381",4254407178657.95
"13382",9047871220.66958
"13383",6504802199151.75
"13384",6011996714659.5
"13389",607819673.522218
"13390",19193604686.85
"13393",7414934026.85352
"13394",52418555246.773
"13401",203384383890.299
"13402",5380916583092.57
"13407",201805637362.438
"13408",638218249174.832
"13409",117452387543.61
"13410",1838393842215.33
"13411",160232906249.79
"13412",157532714613.849
"13417",1894926.90406442
"13418",119783941114.013
"13425",329121431.231776
"13426",10818748534628.8
"13427",287643374526.306
"13428",194264890852.618
"13429",5489318071.98458
"13430",1970775626462.16
"13431",4537960049281.77
"13432",23886480598.7598
"13433",2134341992575.28
"13434",1644528281.89794
"13435",635022111203.377
"13436",311957621963.789
"13437",9151781262.88911
"13438",244615015779.387
"13439",2268412398198.1
"13440",933444717432.493
"13442",1644298951366.05
"13443",854502192275.74
"13444",1695254597799.4
"13445",1040262200882.41
"13446",235353968744.103
"13447",4599895596.81338
"13448",17955382224.2564
"13449",640167285.198261
"13451",18612400575720.8
"13452",11962529197731.7
"13453",29255603025.9015
"13454",3855528795694.9
"13455",45125992985.2867
"13456",21598128582.0631
"13457",159982372786.389
"13458",1912299742264.97
"13459",11320196551.6468
"13461",16294383.9686589
"13462",35699474933.3594
"13463",642654090307.244
"13464",18330893340.5179
"13486",106710496995.55
"13487",213940737024.215
"13488",6887239763907.3
"13489",2884250576426.3
"13490",135237992846.509
"13491",218263081425.419
"13493",531629325460.065
"13494",253376805962.573
"13508501",203434629.339373
"135161",1389336817526.13
"135164",212135710773.023
"13522",194937986284.468
"13523",30355638023.8652
"13524",4957145.12697082
"13525",2256646719587.4
"135429",59668495270.2897
"135440",238783549832.545
"135446",215774487124.673
"135458",120390913637.413
"135485",4007008568076.8
"13556",3621311469684.82
"13559",4191810500957.7
"13560",11136330836455.8
"13572",389552806536.825
"135724",1580976993694.15
"135725",5020444902057.28
"13584",49227231810.9786
"13603",886180915.051771
"13604",739714540.114248
"136192",1922507722.29468
"136193",8666747658.06739
"136195",698505618971.816
"136196",8331727431.17142
"136197",1050409371212.1
"136198",1223697003.03831
"136199",2972472050.9982
"136200",224612781.222987
"136201",107966743220.846
"136202",216556216611.885
"136203",608160339474.307
"136204",1666009430604.06
"136205",775761454657.253
"136206",59211401.5466535
"136207",2878493378.08123
"136208",3988610226514.35
"136209",40218816475.5602
"136210",74242523927.3382
"136211",1186239871.12173
"136212",7016580728.99249
"136214",680398846059.674
"136215",2140593285.72153
"136216",52488475710.9036
"136217",106633252758.314
"136218",274513647.625347
"136219",205745286761.684
"136220",548595783424.42
"136221",67215493478.2969
"136222",24271578533.6192
"136223",146864613721.211
"136224",491260492.206266
"136226",5296169124.89225
"136227",31325480495.3665
"136228",41064429158.0865
"136229",1010958201794.66
"136230",29007056079.6586
"136231",699451663305.199
"136232",129434932336.507
"136234",8816079754.80211
"136235",1307166187.62782
"136236",683194415.292383
"136237",39579490528.2328
"136238",82788975582.7345
"136239",21786699092.2789
"136240",570621981078.817
"136242",203248422930.924
"136243",7142443590.60894
"136244",27306970498.5661
"136245",166428894677.956
"136247",82891948783.2355
"136248",71281841.2352927
"136249",2517372438.42495
"136250",95963106760.7019
"136251",866351276.569299
"136252",6000821405.21137
"136253",38931435976.9222
"136254",1884650375.07178
"136255",1344032412.6927
"136256",119403805858.456
"136257",34157023414.4934
"136258",58444974868.726
"136259",1304117600.33557
"136260",470564415.275806
"136261",9897855793.3439
"136262",527205827572.161
"136263",708577696.228963
"136264",252918033.361969
"136265",1517134025502.77
"136266",3105837847.38623
"136267",14038816711.1264
"136268",790178169943.653
"136269",32614165369.9292
"136270",1050708810.51827
"136271",4577353029485.5
"136272",308072877.260297
"136273",89137182883.5384
"136274",16165799327.3253
"136275",402718020611.193
"136276",963856967049.349
"136277",316310672965.348
"136278",74072073269.4526
"136279",109804595.848167
"136280",4661405121.49678
"136281",238064815.974546
"136282",24366372352.9428
"136283",88944237615.8929
"136284",53277641338.9468
"136285",4374325019.67305
"136286",1479534232.15221
"136287",1054423354.53665
"136288",826292454.620358
"136289",1279694404.09977
"136290",854544119776.58
"136291",3083225508853.2
"136292",330086545526.568
"136293",466618822.37052
"136294",850120616198.986
"136295",227196552.935194
"136296",2222587541470.83
"136297",2303447365451.05
"136298",70458229.7263833
"136299",2176556381.3644
"136301",31704082545.2893
"136302",14317813.1219349
"136303",7763213233.36876
"136304",58306814096.6199
"136305",571004734.7212
"136306",11021007211.026
"136308",9246195890.30431
"136309",320401942.372051
"136311",584741211.667811
"136312",31628915936.1156
"136313",42686471325.8016
"136316",1491975029.38086
"136317",632947998100.163
"136319",3641542521.91277
"136320",929157181.780631
"136321",102131700330.238
"136322",15359820.3454362
"136323",145828307951.466
"136324",115422816614.84
"136325",19813878.4000385
"136326",705702773489.414
"136327",222302340456.455
"136328",14351082107.4237
"136330",2220494210.03
"136331",22675333164.2997
"136332",236116252263.433
"136333",19152496614.2401
"136334",405507488.549637
"136335",2580988494.15579
"136336",180679752934.419
"136338",88348589325.1104
"136339",19630437737.352
"136340",2450554747.96993
"136341",2460829323.48605
"136342",116871463.829427
"136343",85622507.7316269
"136344",6029712132665.16
"136345",13995296447.1528
"136346",2612563364422.57
"136347",1609318737.4249
"136348",1933965071.57547
"136349",416034891.477687
"136350",2377744823165.27
"136351",3402118394.28502
"136352",955497007605.329
"136354",142325846228.595
"136355",115402878392.15
"136356",429470115278.188
"136357",6378582515.24278
"136358",3493013377391.64
"136359",227957005.523231
"136360",1479888471.59123
"136361",11431930453.2605
"136362",73715536.7340254
"136363",2433276008880.67
"136364",7309211899.71295
"136365",439055461610.483
"136366",620911991049.005
"136367",3306519578.24229
"136369",1562640114.78994
"13637",9897222826215.61
"136370",10499293279.3852
"136372",2540165005.1136
"136373",44170887367.1943
"136374",46526995549.5129
"136375",921861541525.879
"136376",6088117988.67425
"136377",231907432820.655
"136378",80808009675.3065
"136379",49486632.198279
"13638",3326776902.56968
"136380",47739849435.2007
"136382",3884856038.78563
"136384",6546621768.96735
"136385",15959130135160
"136386",48352478117.7008
"136387",553894321.536914
"136388",13298659.0923226
"136389",26785848.2145226
"13639",4472126119428.52
"136390",50586672.4351768
"136391",5132340116.75959
"136392",107295912.214671
"136393",186331766204.058
"136394",826357258.820406
"136395",1033727902072.89
"136396",4185150396.57877
"136397",3106640915.62548
"136398",95421544334.8305
"136399",10127468099.105
"13640",6688970469326.14
"136400",16102604180.7387
"136402",1540060435.93708
"136404",574799935.998829
"136407",4162408624.05305
"136409",3625805004025.67
"13641",3880034993739.4
"136410",4927496351.293
"136411",45568071508.7479
"136412",144182030163.151
"136413",34453217803.4618
"136414",4982010376.65802
"136416",37378531011.8049
"136417",2704548341.31054
"136418",5654280569.0996
"13642",11450257044776.9
"136420",3092046327.37609
"136422",1565931640730.53
"136423",1461294070628.65
"136424",4404794196237.37
"136425",6039386301.87102
"136426",761232959955.902
"136428",129194288605.144
"136429",2138590350244.17
"13643",11605510250178.1
"136431",294534515.19411
"136433",999178864.966073
"136434",5832063784.71957
"136435",129350491143.543
"136437",1435141691393.69
"136438",33341390323.7709
"136439",32438601340.8203
"13644",14800275008221.3
"136441",47545664543.6099
"136442",15506401180.2299
"136443",2524158736.08266
"136444",12821052227.5364
"136445",11832811297.4102
"136446",135977784614.884
"136447",11525821010.4175
"136448",2483320534771.53
"136449",408993026.306699
"13645",10297139098.5861
"136450",233055040122.479
"136453",4182506123.12663
"136454",1238061303134.23
"136455",39704858477.1275
"136457",1517194952.13803
"136458",156831142.202822
"136459",4010149228.34736
"136460",708604473562.476
"136461",3488478420.26397
"136462",14446613024.9877
"136463",80361155431.1243
"136464",7846590553.20921
"136465",36338985637.8031
"136466",44226017.7945607
"136467",3225148002.57651
"136468",1750120486.30865
"136469",873740077765.364
"136470",9306229.31752385
"136471",1558726498080.71
"136472",533083881.183806
"136473",978020371253.814
"136474",6488203569.20866
"136475",90723075736.0455
"136476",50931983.2875843
"136477",29363534823.5408
"136478",185987327727.295
"136479",108084896246.799
"13648",15767723285566.3
"136480",1375918292.65153
"136481",592293393792.639
"136482",349182884.164358
"136483",482668960977.061
"136484",5528084891.89511
"136485",215190565722.524
"136486",406536222020.425
"136487",215659697.15268
"136488",136563231687.636
"136489",61596147.0271812
"13649",1985751350141.38
"136490",564431589216.482
"136491",64437330.2184486
"136492",28265532607.001
"136493",566823293.887856
"136494",1015753839540.51
"136495",4946033202021.26
"136496",47297551546.2164
"136497",13546510479.1398
"136498",115704282012.242
"136499",524455712.211729
"13650",2024567249006.04
"136500",1643704361.59626
"136501",443217679059.336
"136502",285856805440.009
"136503",23980590716.5823
"136504",7030018069.34198
"136505",113666451305.72
"136507",26620915344.0133
"136508",27171485294.3794
"136509",19944213274.6447
"136510",17985336.9087723
"136511",13493475211.004
"136512",9974680366.68446
"136513",721011849681.8
"136516",115705581889.96
"136517",3126117577.44697
"136518",168931473116.506
"136519",10800533905.8163
"136520",293728.902622057
"136521",2294231020.11275
"136522",1830069529.35384
"136523",3885625718.42192
"136524",187151357154.651
"136525",5496616435.47178
"136526",82167080.8415643
"136527",47852835800.9794
"136528",1071177830.78015
"136529",1991968514435.4
"136530",161567210.045445
"136531",102513275.013064
"136533",316191133.150669
"136534",10890615.7747853
"136535",22620172784.9797
"136536",70234687895.9067
"136537",788893111.773677
"136538",76019308.9964457
"136539",20443331141.8936
"136541",93008852218.102
"136542",32137464431.945
"136543",4672073737.01699
"136545",1141063728855.88
"136546",37175702.2090819
"136547",3712719669.7299
"136548",74327944388.0593
"136549",260143400381.218
"136550",684989606.526257
"136551",5872017079171.98
"136552",174288769697.575
"136553",2607614593061.7
"136554",8416939663.40684
"136555",4920270575.97061
"136556",704874898.153347
"136557",16885453.6668634
"136559",416824307398.725
"136560",2991046591358.74
"136561",803519036332.378
"136563",296435518.777808
"136564",3539500459.39241
"136565",73344372788.1633
"136566",380554184.452316
"136567",3830402783.93434
"136568",166723487.802012
"136569",1722804549.85641
"136570",183731317106.493
"136571",209291771293.843
"136572",733761195.350482
"136573",586486630516.989
"136574",555947840.482305
"136575",1122166476.94867
"136576",19073515070.7022
"136577",172371142242.578
"136578",732628426133.966
"136580",1533318702.98907
"136581",138565431651.853
"136582",92151448.4036147
"136583",309301237417.381
"136585",2015179406844.04
"136586",23765391467.6709
"136587",14052402151.981
"136588",559538718.538586
"136589",7900248234.82442
"136590",17713102915.7046
"136591",2274114454.43087
"136592",530382959072.289
"136593",40188183.956521
"136594",99097354698.8193
"136596",4007560.24981685
"136597",145615499554.248
"136598",5958715332741.73
"136599",37809884532.864
"136600",177328160836.718
"136601",1828165312.3872
"136602",84379021.1355588
"136603",510006384690.234
"136604",566768674.851331
"136606",538896447512.416
"136607",22596269984.2295
"136608",13600255438.4555
"136609",2566823850.98403
"136610",142805825.019753
"136611",236547610505.667
"136612",210159194687.066
"136613",784234915101.828
"136615",1052415081990.19
"136616",90335939.5702297
"136618",83150924.3754445
"136619",55884943.1284667
"136620",398017900182.026
"136621",457190945776.698
"136622",1107258934.07384
"136624",1088892354711.5
"136625",573977874780.822
"136626",301604361337.222
"136627",84473906667.9629
"136628",1096542334.91216
"136629",137878402901.288
"136630",97814574220.2843
"136631",1728416902012.5
"136632",65226683050.9211
"136633",151775296.957495
"136634",28345062036.0623
"136635",1156907450.90471
"136636",777447141136.965
"136637",35955764660.9404
"136638",56256000.184011
"136639",5969886065.42037
"136640",69745448460.4308
"136641",9272654888.49817
"136642",1348471094.69971
"136643",12999741506.3396
"136644",30583725346.9309
"136645",1137439204.85836
"136646",35159514570.7479
"136647",149136238468.668
"136648",1348367963.58064
"136649",1960607753349.33
"136650",996794931309.651
"136651",310607577740.885
"136652",68147088987.2248
"136653",1431448592115.31
"136654",395545103.044825
"136655",140347467424.533
"136656",56066924823.9208
"136658",252699910.328219
"136659",1233815740491.15
"136660",107405505307.69
"136662",2186316780.15382
"136663",2337165235189.41
"136664",219285941433.432
"136665",386564063966.547
"136666",66204036264.1495
"136667",1276751835.53351
"136668",80568753.8465705
"136671",4543755924161.57
"136672",13349795927.1814
"136673",89990065.4280888
"136674",330826829.909565
"136675",46302474717.7323
"136676",29095851896.1263
"136677",19285553422.239
"136678",311910309.014037
"136679",132795308717.564
"136680",513298998231.672
"136681",393416081.895351
"136682",2115697079.66491
"136683",820417032.074203
"136684",9803193030.65608
"136685",544101644.047147
"136686",28493008653.2354
"136687",5375562627.85329
"136688",6041069409.89843
"136689",1360452918791.16
"136690",545210338935.482
"136691",199687849968.274
"136693",65868071331.8521
"136695",119049343.2997
"136696",2990485763.09134
"136697",1326845747265.05
"136698",56542846153.0884
"136699",121062037914.25
"136700",1400137082.4249
"136701",3294821354.83493
"136702",462673254013.984
"136703",18156331.9970578
"136704",501981636619.559
"136705",7567017802.80177
"136706",206491240934.831
"136707",7394895048.4264
"136708",7647905585244.75
"136709",53796245.8012346
"136710",202870222.098668
"136711",90588792.5858526
"136712",5591448112751.71
"136713",522529278224.152
"136714",29799729.2229742
"136715",929157181.780631
"136716",308451778028.843
"136717",879806135544.972
"136718",405004382.906408
"136719",2691304222.08151
"136722",1511005130.80033
"136723",991214108.668511
"136724",61733837.0818005
"136725",63202747040.6003
"136726",2805714933.91111
"136727",221433025804.675
"136728",1734747838282.58
"136730",12210776179.8761
"136731",1434961258.29056
"136732",84949909262.0639
"136733",667710323628.176
"136734",7536023097.10725
"136735",1007478474.86327
"136736",2677369393.96622
"136737",54307244572.5822
"136738",1443391059121.92
"136739",6625210176.08947
"136741",1601126528254.52
"136742",131393228361.891
"136743",78682885.895177
"136744",737654139.479898
"136745",3884424240.61443
"136746",24442569289.8413
"136747",111954434001.4
"136749",310850998397.679
"136750",127719940944.193
"136751",294631837654.247
"136753",2113645185.34118
"136754",106633252758.314
"136755",9618051988.10944
"136756",1079024784769.87
"136757",109304889323.329
"136758",285482713.204068
"136759",152165929794.822
"136760",6988612209.66852
"136761",2400817679.85101
"136762",712730460.249763
"136763",2050819081.57529
"136764",340703580066.158
"136765",14423398534.4946
"136766",831512968652.017
"136767",970994226.106136
"136768",114506364486.385
"136769",8277035.91990389
"136770",825396207464.578
"136771",1877590855.44803
"136772",2330951688.40557
"136773",2524161533.90821
"136774",75613232182.1516
"136775",2776447067.2024
"136776",169411149977.279
"136777",3130365717.96959
"136778",25210915203.2426
"136779",61267676125.3406
"136780",5984294515.78294
"136781",101089698446.293
"136782",31962745254.2187
"136783",230062968679.374
"136784",3263845597740.34
"136785",290237587.023083
"136786",196764585153.67
"136787",1044790680739.03
"136789",62305345944.6969
"136790",6619169812.99561
"136791",71060573.6942703
"136792",232052321378.137
"136793",1076950802213.91
"136795",5940029833.54211
"136796",3963496758.40641
"136797",3825446678102.65
"136798",455804740183.162
"136799",12893652817.8564
